"Id","Name","Slug","IconPath","ImageUrl","ParentId","Description","CreatedAt","UpdatedAt"
"1","Laptop","laptop","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764336079/monitor_gfheqk.svg","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764337713/laptop_jchkjn.webp",,"All kinds of laptops","2025-10-12 09:34:00+00","2025-10-12 09:34:00+00"
"2","Smartphone","smartphone","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764336079/mobile_qk5kuf.svg","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764337713/iphone_air-3_2_hfq1wl.webp",,"All kinds of smartphones","2025-10-12 09:34:00+00","2025-10-12 09:34:00+00"
"3","Tablet","tablet","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764336079/tablet_mhhzhn.svg","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764337716/xiaomi-pad-mini-4_adg1r9.webp",,"All kinds of tablets","2025-10-12 09:34:00+00","2025-10-12 09:34:00+00"
"4","Accessory","accessory","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764336342/headphone_pz0fkb.svg","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764337712/adapter-20w-apple-5_1_1_odasww.webp",,"External product that enhances main product experience","2025-10-12 09:34:00+00","2025-10-12 09:34:00+00"
"5","Camera","camera","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764336079/camera_xmozh9.svg","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764337713/may-anh-canon-eos-r100_8__havbm2.webp",,"All kinds of cameras","2025-10-12 09:34:00+00","2025-10-12 09:34:00+00"
"6","Computer & Office","computer-office","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764336081/devices_kty5xc.svg","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764337714/pc_eoswm6.jpg",,"PC and office related products","2025-10-12 09:34:00+00","2025-10-12 09:34:00+00"
"7","Gaming","gaming","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764336081/game_opdnni.svg","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764337714/ps5_lfmig6.webp",,"Gaming products and accessories","2025-10-12 09:34:00+00","2025-10-12 09:34:00+00"
"8","Monitor","monitor","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764336079/monitor_gfheqk.svg","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764337714/monitor_i9d6or.webp","6","All types of computer monitors","2025-10-12 09:34:00+00","2025-10-12 09:34:00+00"
"9","CPU","cpu","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764336079/cpu_b8usqu.svg","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764337712/CPU_kfg2fy.webp","6","Processors and chips for computers","2025-10-12 09:34:00+00","2025-10-12 09:34:00+00"
"10","GPU","gpu","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764336079/cpu_b8usqu.svg","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764337712/GPU_ltzw4j.webp","6","Graphics cards for PCs and laptops","2025-10-12 09:34:00+00","2025-10-12 09:34:00+00"
"11","RAM","ram","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764336081/ram_luys0f.svg","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764337714/ram_kssmbv.webp","6","Memory modules for PCs and laptops","2025-10-12 09:34:00+00","2025-10-12 09:34:00+00"
"12","Storage (SSD / HDD)","storage","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764336081/ram_luys0f.svg","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764337715/rom_sreazq.webp","6","Storage devices: SSD, HDD, memory cards","2025-10-12 09:34:00+00","2025-10-12 09:34:00+00"
"13","Keyboard","keyboard","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764336081/keyboard_k2vqvu.svg","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764337713/banphim_iai2rn.jpg","4",,"2025-10-12 09:34:00+00","2025-12-06 15:14:00.464622+00"
"14","Mouse","mouse","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764336081/keyboard_k2vqvu.svg","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764337714/mouse_enodsx.png","4","Computer and laptop mice (wired, wireless, gaming)","2025-10-12 09:34:00+00","2025-10-12 09:34:00+00"
"15","Headphone / Headset","headphone","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764336342/headphone_pz0fkb.svg","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764337713/headphone_qn6mqd.jpg","4","Audio accessories compatible with PC, Laptop, and Smartphone","2025-10-12 09:34:00+00","2025-10-12 09:34:00+00"
"16","Charger & Cable","charger-cable","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1760540871/tekno/category/icon/f0p9oqwzazwy19qvhclr.png","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1764337712/adapter-20w-apple-5_1_1_odasww.webp","4","Chargers, adapters, and data cables for all devices","2025-10-12 09:34:00+00","2025-10-12 09:34:00+00"
"17","Case & Cover","case-cover","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1760540871/tekno/category/icon/f0p9oqwzazwy19qvhclr.png",,"4","Protective cases for phones, tablets, and laptops","2025-10-12 09:34:00+00","2025-10-12 09:34:00+00"
"19","Xbox","xbox","",,"7",,"2025-12-06 15:12:04.768961+00","2025-12-06 15:12:04.768961+00"
"20","Charm","charm","","https://res.cloudinary.com/dwa3wh9yb/image/upload/v1766452825/tekno/category/charm/zxwp9kmwt4bmz7ky74cq.jpg","17",,"2025-12-23 01:20:24.777126+00","2025-12-23 01:20:24.777126+00"
