OrderId,UserId,ProductIds
1,2,[2]
2,2,"[40, 31, 13]"
3,2,[115]
4,2,"[10, 109, 99, 3, 2]"
5,2,[30]
6,2,"[104, 110]"
7,2,[107]
8,2,"[117, 113]"
9,2,"[84, 31, 100, 109, 50]"
10,2,[120]
11,12,"[71, 50, 14, 30]"
12,23,[10]
13,26,[80]
14,24,"[41, 123, 3, 118, 101]"
15,9,"[10, 107, 51, 125]"
16,25,"[22, 117, 5, 3, 114]"
17,16,"[10, 126, 31]"
18,8,"[50, 101, 112, 125]"
19,25,"[81, 80]"
20,15,"[116, 115, 113]"
21,6,"[112, 20, 106, 118, 40]"
22,12,"[82, 50, 112, 116]"
23,16,"[125, 121, 4]"
24,16,[123]
25,22,"[50, 5, 30, 108]"
26,22,"[113, 103]"
27,27,"[14, 41, 13, 40]"
28,18,"[99, 109, 83, 81, 31]"
29,10,"[103, 10, 120, 4, 127]"
30,9,"[112, 20]"
31,29,"[5, 82, 110, 101, 105]"
32,18,"[127, 1, 115, 118, 12]"
33,19,"[12, 51, 99]"
34,12,"[1, 118, 128, 41]"
35,13,"[11, 127, 112, 61, 125]"
36,14,"[81, 120]"
37,12,"[121, 105, 1, 110, 70]"
38,33,[12]
39,25,"[40, 4, 128]"
40,7,[118]
41,33,[120]
42,10,"[114, 102]"
43,12,"[105, 127, 110]"
44,29,"[106, 120]"
45,14,"[83, 114, 113]"
46,25,"[105, 100, 12, 40]"
47,16,[71]
48,3,"[107, 31, 109, 1, 5]"
49,5,"[5, 3]"
50,23,[104]
51,17,"[114, 103, 30]"
52,10,"[108, 102, 40, 122, 123]"
53,28,"[11, 114]"
54,29,"[99, 84, 101]"
55,5,[4]
56,27,"[123, 127, 11]"
57,17,"[22, 106]"
58,30,"[99, 21]"
59,19,"[40, 127, 5, 100]"
60,8,[113]
61,2,[120]
62,17,"[84, 103]"
63,32,"[127, 83]"
64,5,"[82, 1]"
65,26,"[122, 101, 51]"
66,29,"[114, 117, 103, 14, 22]"
67,20,"[4, 109]"
68,5,"[4, 109, 102]"
69,12,[104]
70,7,"[5, 110]"
71,6,"[83, 12]"
72,17,"[110, 3, 111, 10, 84]"
73,22,"[30, 114, 117]"
74,22,"[41, 83]"
75,10,"[101, 70, 120]"
76,6,[101]
77,8,[106]
78,15,"[41, 13, 80, 128, 5]"
79,17,"[51, 20, 100]"
80,21,"[123, 113, 105, 1, 114]"
81,21,[128]
82,10,"[12, 128, 11]"
83,11,"[51, 110, 30]"
84,23,"[115, 112]"
85,18,"[103, 41, 126, 4, 10]"
86,29,"[3, 1, 71]"
87,10,"[20, 119, 100]"
88,29,"[1, 12, 5, 128, 116]"
89,11,"[3, 125, 81, 109, 107]"
90,11,"[13, 3, 61, 81]"
91,4,"[30, 115, 40]"
92,8,"[121, 107, 128]"
93,28,"[119, 14, 40, 127, 20]"
94,13,"[2, 21, 119, 71]"
95,28,"[50, 20]"
96,8,"[127, 3, 126, 102]"
97,16,"[124, 101]"
98,24,"[124, 122, 127]"
99,16,"[2, 114]"
100,14,"[71, 50, 127, 5]"
