user_id,item_id,performance,value,portability,durability,overall_rating
1337,5185,4,2,4,2,3
784,5233,5,5,3,4,4
1985,5001,4,4,4,5,4
516,5236,5,5,2,2,4
1098,5050,4,5,3,4,4
1434,5193,2,4,3,2,3
1588,5290,5,4,2,4,4
897,5139,3,4,5,4,4
747,5240,5,5,2,4,4
324,5430,5,4,2,5,4
469,5176,2,3,3,5,3
677,5180,4,3,5,4,4
741,5369,2,4,3,3,3
946,5174,4,4,5,5,4
1631,5261,5,3,1,3,3
879,5079,2,4,4,4,4
1388,5394,4,4,3,4,4
769,5395,4,3,3,4,4
1005,5142,4,5,4,4,4
1022,5389,4,5,3,4,4
1248,5040,2,5,4,3,4
303,5458,3,3,2,5,3
217,5250,5,5,2,2,4
1595,5208,5,4,2,5,4
1148,5446,5,5,4,5,5
1207,5081,3,5,4,4,4
1508,5397,3,5,4,4,4
629,5243,5,4,2,2,3
852,5259,5,4,2,2,3
445,5161,4,5,5,4,4
1830,5148,4,3,4,3,4
917,5322,3,2,3,3,3
830,5049,1,3,3,1,2
1036,5224,5,5,3,3,4
384,5180,4,2,4,3,3
1859,5384,3,2,3,4,3
1005,5049,1,3,3,2,2
361,5369,2,5,4,4,4
1934,5161,3,4,4,4,4
555,5327,4,2,3,3,3
1897,5038,3,5,5,4,4
240,5258,5,5,3,3,4
388,5262,5,4,1,5,4
770,5336,3,4,5,3,4
424,5177,3,4,5,3,4
632,5273,5,5,2,3,4
1264,5127,4,3,5,3,4
1574,5115,4,2,5,3,4
1831,5200,5,5,4,5,5
67,5074,2,5,5,3,4
1978,5244,5,5,3,4,4
648,5289,4,4,2,3,3
1394,5359,3,2,3,3,3
278,5296,4,4,2,4,4
1309,5035,2,5,4,3,4
1920,5064,1,2,4,3,2
1698,5308,5,4,4,4,4
1195,5200,5,5,3,5,4
638,5384,3,2,2,4,3
1448,5115,4,2,4,4,4
1561,5440,5,5,1,5,4
1634,5185,3,4,4,3,4
747,5202,5,5,4,5,5
177,5161,4,4,5,4,4
923,5034,3,5,5,4,4
104,5387,4,3,2,4,3
383,5449,3,3,1,5,3
1374,5216,5,5,2,4,4
856,5294,4,5,2,3,4
1306,5488,3,5,3,5,4
1793,5344,4,5,4,4,4
1116,5296,5,4,1,4,4
427,5115,4,2,5,3,4
886,5136,3,3,5,4,4
1278,5061,3,5,4,4,4
360,5059,1,4,4,3,3
457,5106,4,3,5,4,4
252,5280,5,4,2,5,4
1024,5023,2,3,4,3,3
1894,5147,4,4,5,4,4
811,5258,5,4,3,2,4
860,5111,4,4,5,5,4
459,5074,2,5,5,3,4
399,5304,5,3,4,5,4
1244,5201,5,5,3,5,4
1189,5290,5,4,1,3,3
996,5248,5,5,3,3,4
1017,5284,5,4,2,3,4
1737,5197,5,5,4,5,5
