product_id,category,tier,base_performance,base_value,base_portability,base_durability,legacy_product_id
5000,Chromebook,High-end,3,4,4,4,B011
5001,Chromebook,High-end,3,4,4,4,B012
5002,Chromebook,High-end,3,4,4,4,B013
5003,Chromebook,High-end,3,4,4,4,B014
5004,Chromebook,High-end,3,4,4,4,B015
5005,Chromebook,High-end,3,4,4,4,B016
5006,Chromebook,High-end,3,4,4,4,B017
5007,Chromebook,High-end,3,4,4,4,B018
5008,Chromebook,High-end,3,4,4,4,B019
5009,Chromebook,High-end,3,4,4,4,B020
5010,Chromebook,High-end,2,4,4,4,B024
5011,Chromebook,High-end,3,4,4,4,B025
5012,Chromebook,High-end,2,4,4,4,B028
5013,Chromebook,High-end,1,4,3,2,B030
5014,Chromebook,High-end,1,5,3,2,B034
5015,Chromebook,High-end,2,5,5,4,B036
5016,Chromebook,High-end,1,4,3,3,B039
5017,Chromebook,High-end,3,5,3,2,B040
5018,Chromebook,High-end,3,5,3,4,B042
5019,Chromebook,High-end,2,4,5,4,B044
5020,Chromebook,High-end,3,3,3,2,B045
5021,Chromebook,High-end,2,3,4,4,B051
5022,Chromebook,High-end,1,3,3,3,B061
5023,Chromebook,High-end,2,3,3,3,B066
5024,Chromebook,High-end,1,3,3,3,B068
5025,Chromebook,High-end,1,5,5,2,B069
5026,Chromebook,High-end,2,4,5,2,B076
5027,Chromebook,High-end,1,4,3,2,B085
5028,Chromebook,High-end,2,3,5,3,B092
5029,Chromebook,High-end,1,3,5,4,B093
5030,Chromebook,High-end,3,5,5,2,B099
5031,Chromebook,Mid-range,2,5,4,3,B001
5032,Chromebook,Mid-range,2,5,4,3,B002
5033,Chromebook,Mid-range,2,5,4,3,B003
5034,Chromebook,Mid-range,2,5,4,3,B004
5035,Chromebook,Mid-range,2,5,4,3,B005
5036,Chromebook,Mid-range,2,5,4,3,B006
5037,Chromebook,Mid-range,2,5,4,3,B007
5038,Chromebook,Mid-range,2,5,4,3,B008
5039,Chromebook,Mid-range,2,5,4,3,B009
5040,Chromebook,Mid-range,2,5,4,3,B010
5041,Chromebook,Mid-range,1,3,4,2,B021
5042,Chromebook,Mid-range,1,3,3,3,B022
5043,Chromebook,Mid-range,2,5,3,2,B023
5044,Chromebook,Mid-range,3,3,3,4,B026
5045,Chromebook,Mid-range,1,4,5,2,B027
5046,Chromebook,Mid-range,3,3,5,2,B029
5047,Chromebook,Mid-range,1,5,4,4,B031
5048,Chromebook,Mid-range,1,4,4,4,B032
5049,Chromebook,Mid-range,1,3,3,2,B033
5050,Chromebook,Mid-range,3,5,3,4,B035
5051,Chromebook,Mid-range,1,5,3,3,B037
5052,Chromebook,Mid-range,3,4,4,4,B038
5053,Chromebook,Mid-range,1,5,3,3,B041
5054,Chromebook,Mid-range,2,5,5,2,B043
5055,Chromebook,Mid-range,1,3,3,4,B046
5056,Chromebook,Mid-range,2,5,3,2,B047
5057,Chromebook,Mid-range,2,4,3,3,B048
5058,Chromebook,Mid-range,2,3,4,4,B049
5059,Chromebook,Mid-range,2,5,4,4,B050
5060,Chromebook,Mid-range,3,4,4,3,B052
5061,Chromebook,Mid-range,3,5,3,3,B053
5062,Chromebook,Mid-range,1,3,3,2,B054
5063,Chromebook,Mid-range,3,5,4,4,B055
5064,Chromebook,Mid-range,1,3,4,4,B056
5065,Chromebook,Mid-range,2,5,5,2,B057
5066,Chromebook,Mid-range,1,3,3,4,B058
5067,Chromebook,Mid-range,3,4,5,2,B059
5068,Chromebook,Mid-range,1,5,5,4,B060
5069,Chromebook,Mid-range,2,4,4,3,B062
5070,Chromebook,Mid-range,3,4,4,2,B063
5071,Chromebook,Mid-range,2,4,4,4,B064
5072,Chromebook,Mid-range,1,5,3,3,B065
5073,Chromebook,Mid-range,2,5,4,2,B067
5074,Chromebook,Mid-range,2,4,4,2,B070
5075,Chromebook,Mid-range,1,3,5,2,B071
5076,Chromebook,Mid-range,1,4,3,3,B072
5077,Chromebook,Mid-range,2,5,5,4,B073
5078,Chromebook,Mid-range,3,4,3,4,B074
5079,Chromebook,Mid-range,2,4,4,4,B075
5080,Chromebook,Mid-range,3,5,4,2,B077
5081,Chromebook,Mid-range,3,5,4,4,B078
5082,Chromebook,Mid-range,1,3,5,4,B079
5083,Chromebook,Mid-range,3,5,4,3,B080
5084,Chromebook,Mid-range,2,3,5,3,B081
5085,Chromebook,Mid-range,1,5,4,2,B082
5086,Chromebook,Mid-range,2,3,5,2,B083
5087,Chromebook,Mid-range,2,5,5,2,B084
5088,Chromebook,Mid-range,3,3,4,2,B086
5089,Chromebook,Mid-range,2,4,5,4,B087
5090,Chromebook,Mid-range,1,4,5,3,B088
5091,Chromebook,Mid-range,3,3,5,2,B089
5092,Chromebook,Mid-range,3,4,4,3,B090
5093,Chromebook,Mid-range,2,3,4,3,B091
5094,Chromebook,Mid-range,1,4,4,4,B094
5095,Chromebook,Mid-range,3,4,4,2,B095
5096,Chromebook,Mid-range,2,5,4,3,B096
5097,Chromebook,Mid-range,1,3,5,2,B097
5098,Chromebook,Mid-range,3,5,4,2,B098
5099,Chromebook,Mid-range,2,4,5,3,B100
5100,Chromebook,Mid-range,1,4,4,2,B101
5101,Chromebook,Mid-range,3,4,5,3,B102
5102,Chromebook,Mid-range,3,4,4,3,B103
5103,Convertible,High-end,4,3,5,4,C011
5104,Convertible,High-end,4,3,5,4,C012
5105,Convertible,High-end,4,3,5,4,C013
5106,Convertible,High-end,4,3,5,4,C014
5107,Convertible,High-end,4,3,5,4,C015
5108,Convertible,High-end,4,3,5,4,C016
5109,Convertible,High-end,4,3,5,4,C017
5110,Convertible,High-end,4,3,5,4,C018
5111,Convertible,High-end,4,3,5,4,C019
5112,Convertible,High-end,4,3,5,4,C020
5113,Convertible,High-end,4,4,4,3,C021
5114,Convertible,High-end,2,4,4,2,C023
5115,Convertible,High-end,4,2,4,3,C025
5116,Convertible,High-end,3,2,3,3,C026
5117,Convertible,High-end,3,2,3,4,C027
